,Title,Published_date,Views,Likes,Length,Link,,,,
118,Get Started with CP | Competitive Programming Tips | GeeksforGeeks,16-05-2023,2294,58,0 days 00:01:39,https://www.youtube.com/watch?v=FCEj-mreXvI,,,,
117,How to become a CTO in FUTURE | Shikhar Goel | GeeksforGeeks,16-05-2023,1632,65,0 days 00:01:00,https://www.youtube.com/watch?v=oURtQsbXKJg,,,,
116,Gate 2024: Prepare for Success! | GATE CSE 2024 | GeeksforGeeks,18-05-2023,27438,293,0 days 00:00:52,https://www.youtube.com/watch?v=G-3vZKPEtKw,,,,
115,😡😤,19-05-2023,4152,164,0 days 00:00:11,https://www.youtube.com/watch?v=24G2og7huNY,,,,
114,From Zero to AI Hero | An Inspiring Journey of an AI Engineer,21-05-2023,2413,89,0 days 00:41:22,https://www.youtube.com/watch?v=N-RlBo3pv-c,,,,
113,Arrays Practice Questions (Updated) | In C++/JAVA/Python | GeeksforGeeks,22-05-2023,2668,98,0 days 00:10:48,https://www.youtube.com/watch?v=J7EhXvnixRM,,,,
112,What is Arrays | Arrays Explained | New Video - GeeksforGeeks,23-05-2023,2551,65,0 days 00:09:48,https://www.youtube.com/watch?v=3_x_Fb31NLE,,,,
111,GeeksforGeeks Classroom Program in NCR,25-05-2023,2400,30,0 days 00:00:37,https://www.youtube.com/watch?v=uEhnTpHY26o,,,,
110,Relatable or Relatable? 🥲,26-05-2023,8633,225,0 days 00:00:07,https://www.youtube.com/watch?v=G4G2ltjuNos,,,,
109,From Zero to AI Hero | An Inspiring Journey of an AI Engineer,28-05-2023,1247,55,0 days 00:42:54,https://www.youtube.com/watch?v=h-Z5lI8xze8,,,,
108,Full Stack Development | LIVE Classes | GeeksforGeeks,30-05-2023,88718,77,0 days 00:00:35,https://www.youtube.com/watch?v=cBfC9HLR9Qk,,,,
107,ITR Filing Made Simple | Documents require to file ITR | GeeksforGeeks,31-05-2023,932,46,0 days 00:05:40,https://www.youtube.com/watch?v=SWa-tsbaIpg,,,,
106,Python Libraries | Data Science | GeeksforGeeks,01-06-2023,1282,66,0 days 00:01:26,https://www.youtube.com/watch?v=nDa75spDmeE,,,,
105,Do. Not. Touch. It.,02-06-2023,5003,184,0 days 00:00:13,https://www.youtube.com/watch?v=Ynrt1kCzVMQ,,,,
